station_no,station_name,tel,address,latitude,longitude,note,city,district
A37,弘展機車有限公司,02-25565871,臺北市大同區西寧北路93號,25.056638,121.509108,"今日正常營業,但實際營業狀況依現場為主",台北市,大同區
A39,高旺企業股份有限公司,02-29312289,臺北市文山區羅斯福路5段182號,25.004035,121.538516,"今日正常營業,但實際營業狀況依現場為主",台北市,文山區
A40,福盛全有限公司,02-28920313,臺北市北投區中央南路1段210號,25.128328,121.501053,"今日正常營業,但實際營業狀況依現場為主",台北市,北投區
A41,汶吉車業行,02-28929174,臺北市北投區大業路560號,25.135326,121.497042,"今日正常營業,但實際營業狀況依現場為主",台北市,北投區
A42,聯螢車業有限公司,02-28955695,臺北市北投區中央南路1段156號,25.129565,121.500931,"今日正常營業,但實際營業狀況依現場為主",台北市,北投區
A43,大仁車業有限公司,02-27606918,臺北市信義區松隆路80號1樓,25.044513,121.569210,"今日正常營業,但實際營業狀況依現場為主",台北市,信義區
A45,松宏車業有限公司,02-27668065,臺北市信義區忠孝東路5段205號,25.041176,121.569766,"今日正常營業,但實際營業狀況依現場為主",台北市,信義區
A46,四維通車業有限公司,02-27923672,臺北市內湖區民權東路6段128號,25.068895,121.587542,"今日正常營業,但實際營業狀況依現場為主",台北市,內湖區
A47,展嘉輪業有限公司,02-29352235,臺北市文山區羅斯福路5段48號,25.008710,121.537629,"今日正常營業,但實際營業狀況依現場為主",台北市,文山區
A48,鋒權輪有限公司,02-29318529,臺北市文山區興隆路2段241號,25.001914,121.551367,"今日正常營業,但實際營業狀況依現場為主",台北市,文山區
A49,盛昌機車行,02-23656459,臺北市大安區辛亥路1段58號,25.020411,121.530633,"今日正常營業,但實際營業狀況依現場為主",台北市,大安區
A50,進山車業有限公司,02-28271123,臺北市北投區石牌路一段24號,25.112822,121.510068,"今日正常營業,但實際營業狀況依現場為主",台北市,北投區
A51,良江企業有限公司,02-23049911,臺北市萬華區中華路2段98號,25.031452,121.504091,"今日正常營業,但實際營業狀況依現場為主",台北市,萬華區
A52,大旺車行,02-23015555,臺北市萬華區萬大路214號,25.027111,121.500332,"今日正常營業,但實際營業狀況依現場為主",台北市,萬華區
A53,后里車業有限公司,02-23416688,臺北市中正區牯嶺街47號1樓,25.029899,121.516628,"今日正常營業,但實際營業狀況依現場為主",台北市,中正區
A54,松大車業有限公司,02-23519923,臺北市中正區牯嶺街 61-3號,25.029297,121.517104,"今日正常營業,但實際營業狀況依現場為主",台北市,中正區
A55,隆大車業行,02-28214471,臺北市北投區承德路7段344巷15號,25.117960,121.504579,"今日正常營業,但實際營業狀況依現場為主",台北市,北投區
A56,鉍勝車業有限公司,02-23670321,臺北市中正區師大路146號,25.020991,121.526587,"今日正常營業,但實際營業狀況依現場為主",台北市,中正區
A57,忠豪車業有限公司,02-23223646,臺北市中正區忠孝東路2段31號,25.043870,121.527935,"今日正常營業,但實際營業狀況依現場為主",台北市,中正區
A58,磬葉企業有限公司,02-25532553,臺北市大同區錦西街56號,25.060213,121.519713,"今日正常營業,但實際營業狀況依現場為主",台北市,大同區
A59,良星車業有限公司,02-25550191,臺北市大同區重慶北路2段39號,25.055085,121.514329,"今日正常營業,但實際營業狀況依現場為主",台北市,大同區
A60,大華車業有限公司,02-25550831,臺北市大同區承德路1段47號,25.051468,121.517417,"今日正常營業,但實際營業狀況依現場為主",台北市,大同區
A71,中盛機車有限公司,02-27826661,臺北市南港區東新街4號,25.051157,121.582462,"今日正常營業,但實際營業狀況依現場為主",台北市,南港區
A72,富偉機車行,02-28351376,臺北市士林區文林路663號,25.101010,121.522033,"今日正常營業,但實際營業狀況依現場為主",台北市,士林區
A73,力泰車業有限公司,02-28126365,臺北市士林區延平北路5段220號,25.084023,121.510083,"今日正常營業,但實際營業狀況依現場為主",台北市,士林區
A74,永生車業有限公司,02-28832628,臺北市士林區華齡街71號,25.084783,121.519297,"今日正常營業,但實際營業狀況依現場為主",台北市,士林區
A75,長豐車業行,02-25910280,臺北市大同區承德路3段160號,25.068746,121.518194,"今日正常營業,但實際營業狀況依現場為主",台北市,大同區
A76,弘達車業有限公司,02-25927617,臺北市大同區承德路3段162號,25.068807,121.518199,"今日正常營業,但實際營業狀況依現場為主",台北市,大同區
A77,金理車業有限公司,02-27112950,臺北市大安區八德路2段35號,25.044823,121.534019,"今日正常營業,但實際營業狀況依現場為主",台北市,大安區
A78,宏興車業有限公司,02-27371201,臺北市大安區和平東路3段127號,25.024557,121.551794,"今日正常營業,但實際營業狀況依現場為主",台北市,大安區
A79,車王二輪社,02-27783310,臺北市大安區延吉街64-1號,25.043425,121.553862,"今日正常營業,但實際營業狀況依現場為主",台北市,大安區
A80,益揚車業有限公司,02-23653488,臺北市大安區羅斯福路3段93號,25.022588,121.526321,"今日正常營業,但實際營業狀況依現場為主",台北市,大安區
A81,農安機車有限公司,02-25032002,臺北市中山區龍江路375號,25.064662,121.541036,"今日正常營業,但實際營業狀況依現場為主",台北市,中山區
A82,大昌機車有限公司,02-25325325,臺北市中山區北安路458巷3號,25.079353,121.544638,"今日正常營業,但實際營業狀況依現場為主",台北市,中山區
A83,展欣豪車業有限公司,02-25215751,臺北市中山區民權東路2段126號,25.062309,121.532691,"今日正常營業,但實際營業狀況依現場為主",台北市,中山區
A85,异城車業有限公司,02-27818035,臺北市中山區八德路2段329號,25.047507,121.543197,"今日正常營業,但實際營業狀況依現場為主",台北市,中山區
A86,達誠車業有限公司,02-25615203,臺北市中山區吉林路12-3號,25.050270,121.529935,"今日正常營業,但實際營業狀況依現場為主",台北市,中山區
A87,名佳車業行,02-25052840,臺北市中山區錦州街310-1號,25.060185,121.537585,"今日正常營業,但實際營業狀況依現場為主",台北市,中山區
A88,慶發車業有限公司,02-23013749,臺北市中正區汀州路1段182號,25.028304,121.508988,"今日正常營業,但實際營業狀況依現場為主",台北市,中正區
A89,隆發車業有限公司,02-23688822,臺北市中正區重慶南路3段135號,25.023729,121.517007,"今日正常營業,但實際營業狀況依現場為主",台北市,中正區
A90,春琳國際車業有限公司,02-26574081,臺北市內湖區江南街28號,25.077606,121.577666,"今日正常營業,但實際營業狀況依現場為主",台北市,內湖區
A91,鳳翔車業行,02-22362673,臺北市文山區木柵路1段57-6號,24.986852,121.545598,"今日正常營業,但實際營業狀況依現場為主",台北市,文山區
A92,元土車行,02-29363029,臺北市文山區木柵路1段212號,24.987866,121.553262,"今日正常營業,但實際營業狀況依現場為主",台北市,文山區
A93,光輝機車行,02-29375440,臺北市文山區忠順街1段36、38號,24.984002,121.557926,"今日正常營業,但實際營業狀況依現場為主",台北市,文山區
A95,順利機車行,02-29390679,臺北市文山區木新路2段285號,24.982821,121.565729,"今日正常營業,但實際營業狀況依現場為主",台北市,文山區
A96,拓源機車行,02-29360058,臺北市文山區木新路3段73號,24.982226,121.563450,"今日正常營業,但實際營業狀況依現場為主",台北市,文山區
A97,東和機車行,02-29391769,臺北市文山區指南路1段4號,24.987564,121.568839,"今日正常營業,但實際營業狀況依現場為主",台北市,文山區
A98,祥騰機車行,02-29321453,臺北市文山區景興路94號,24.994838,121.544540,"今日正常營業,但實際營業狀況依現場為主",台北市,文山區
A99,威烝車業行,02-29336070,臺北市文山區景興路28-1號,24.997411,121.544594,"今日正常營業,但實際營業狀況依現場為主",台北市,文山區
AA0,騰暉車業行,02-29355119,臺北市文山區興隆路2段18號,24.998675,121.545552,"今日正常營業,但實際營業狀況依現場為主",台北市,文山區
AA1,弘偉車業有限公司,02-29310378,臺北市文山區羅斯福路6段317號,24.993900,121.541370,"今日正常營業,但實際營業狀況依現場為主",台北市,文山區
AA2,雄大車業行,02-28950910,臺北市北投區中和街453-11號,25.144606,121.496809,"今日正常營業,但實際營業狀況依現場為主",台北市,北投區
AA4,和峯車業有限公司,02-28279551,臺北市北投區致遠一路1段92號,25.109457,121.515322,"今日正常營業,但實際營業狀況依現場為主",台北市,北投區
AA5,重輪車業有限公司,02-28918687,臺北市北投區崇仁路一段21號,25.127721,121.501383,"今日正常營業,但實際營業狀況依現場為主",台北市,北投區
AA7,日星車業行,02-25780643,臺北市松山區八德路3段198號,25.047930,121.556346,"今日正常營業,但實際營業狀況依現場為主",台北市,松山區
AA8,亞帝車業有限公司,02-27852274,臺北市南港區中坡南路43號,25.042940,121.583565,"今日正常營業,但實際營業狀況依現場為主",台北市,南港區
AA9,尚益車業有限公司,02-27129855,臺北市松山區五常街281-2號,25.064482,121.545178,"今日正常營業,但實際營業狀況依現場為主",台北市,松山區
AB0,新光機車行,02-27612708,臺北市松山區民生東路5段57號,25.058600,121.557807,"今日正常營業,但實際營業狀況依現場為主",台北市,松山區
AB1,千翔車業行,02-27693225,臺北市松山區光復北路109號,25.051171,121.558056,"將於12/23 00:00-12/23 10:00暫停檢驗,但實際營業狀況依現場為主",台北市,松山區
AB2,佳昇機車行,02-87707177,臺北市松山區健康路44號,25.053246,121.552786,"今日正常營業,但實際營業狀況依現場為主",台北市,松山區
AB3,吉安機車行,02-27265996,臺北市信義區中坡南路287號,25.038587,121.584220,"今日正常營業,但實際營業狀況依現場為主",台北市,信義區
AB4,春崇車業行,02-27591500,臺北市信義區福德街268巷1號,25.039099,121.585855,"今日正常營業,但實際營業狀況依現場為主",台北市,信義區
AB6,儀弘機車行,02-27881023,臺北市南港區研究院路1段185號,25.049563,121.615900,"今日正常營業,但實際營業狀況依現場為主",台北市,南港區
AB7,高陞機車行,02-27821361,臺北市南港區研究院路2段72號,25.045644,121.615076,"今日正常營業,但實際營業狀況依現場為主",台北市,南港區
AB8,瑞明機車行,02-25595038,臺北市大同區長安西路199號,25.051909,121.512996,"今日正常營業,但實際營業狀況依現場為主",台北市,大同區
AB9,三育機車有限公司,02-29315966,臺北市文山區景隆街54號,24.998454,121.544345,"今日正常營業,但實際營業狀況依現場為主",台北市,文山區
AC0,欣利機車有限公司,02-23094206,臺北市萬華區西園路2段288之1號,25.027401,121.494064,"今日正常營業,但實際營業狀況依現場為主",台北市,萬華區
AC1,鑫東園車業有限公司,02-23035374,臺北市萬華區東園街105號,25.025364,121.496798,"今日正常營業,但實際營業狀況依現場為主",台北市,萬華區
AC2,葉山車行,02-23062832,臺北市萬華區桂林路30號30-1號,25.037694,121.505005,"今日正常營業,但實際營業狀況依現場為主",台北市,萬華區
AC3,尚億車業有限公司,02-23016258,臺北市萬華區萬大路500號,25.019418,121.497135,"今日正常營業,但實際營業狀況依現場為主",台北市,萬華區
AC4,盟業車業行,02-28864407,臺北市士林區通河街169號,25.081386,121.519806,"今日正常營業,但實際營業狀況依現場為主",台北市,士林區
AC5,好發達車業,02-28735552,臺北市士林區天母東路8巷99號1樓,25.114309,121.530290,"今日正常營業,但實際營業狀況依現場為主",台北市,士林區
AC6,新天母機車行,02-28768286,臺北市士林區中山北路6段405巷83號1樓,25.117171,121.526024,"今日正常營業,但實際營業狀況依現場為主",台北市,士林區
AC7,銘豐機車行,02-28819070,臺北市士林區文林路314號,25.092184,121.526203,"今日正常營業,但實際營業狀況依現場為主",台北市,士林區
AC8,小緯機車行,02-25572788,臺北市大同區大龍街26號1樓,25.057967,121.518393,"今日正常營業,但實際營業狀況依現場為主",台北市,大同區
AC9,旭宏車業行,02-27385828,臺北市信義區和平東路3段285號,25.022068,121.555245,"今日正常營業,但實際營業狀況依現場為主",台北市,信義區
AD1,東貿機車有限公司,02-27351212,臺北市大安區基隆路2段233號,25.022558,121.550738,"今日正常營業,但實際營業狀況依現場為主",台北市,大安區
AD2,德剛車行有限公司,02-25318292,臺北市中山區天津街27號,25.048650,121.522666,"今日正常營業,但實際營業狀況依現場為主",台北市,中山區
AD3,偉恆有限公司,02-25950909,臺北市中山區吉林路408號,25.068018,121.530321,"今日正常營業,但實際營業狀況依現場為主",台北市,中山區
AD4,世輪機車行,02-23680029,臺北市中正區汀州路2段76號,25.025065,121.518708,"將於12/8 00:00-6/16 23:59暫停檢驗,但實際營業狀況依現場為主",台北市,中正區
AD5,日昇機車行,02-26321200,臺北市內湖區康寧路3段16巷115號,25.071102,121.609673,"今日正常營業,但實際營業狀況依現場為主",台北市,內湖區
AD6,宏淞車業有限公司,02-27902769,臺北市內湖區金龍路87號,25.085313,121.591879,"今日正常營業,但實際營業狀況依現場為主",台北市,內湖區
AD7,正倫車業行,02-26331673,臺北市內湖區康樂街67號1樓,25.068773,121.618496,"今日正常營業,但實際營業狀況依現場為主",台北市,內湖區
AD8,金展機車行,02-28232068,臺北市北投區自強街62號,25.110405,121.513901,"今日正常營業,但實際營業狀況依現場為主",台北市,北投區
AD9,聯耀機車行,02-23617187,臺北市萬華區環河南路1段21號,25.046889,121.504206,"今日正常營業,但實際營業狀況依現場為主",台北市,萬華區
AF1,唭哩岸機車行,02-28226981,臺北市北投區致遠二路89號,25.116216,121.511651,"今日正常營業,但實際營業狀況依現場為主",台北市,北投區
AF2,昇輪機車行,02-27282084,臺北市信義區信義路6段47號,25.035085,121.576338,"今日正常營業,但實際營業狀況依現場為主",台北市,信義區
AF3,友順機車行,02-23391766,臺北市萬華區萬大路423巷27號1樓,25.021187,121.499538,"今日正常營業,但實際營業狀況依現場為主",台北市,萬華區
AF5,巨揚機車行,02-28131959,臺北市士林區中正路605號,25.086574,121.509725,"今日正常營業,但實際營業狀況依現場為主",台北市,士林區
AF6,信全車業有限公司,02-27389789,臺北市大安區通化街168號,25.028246,121.553562,"今日正常營業,但實際營業狀況依現場為主",台北市,大安區
AF8,立豐機車行,02-23072575,臺北市中正區重慶南路3段32號,25.028686,121.515418,"今日正常營業,但實際營業狀況依現場為主",台北市,中正區
AF9,國祥機車行,02-26333510,臺北市內湖區康樂街32號1樓,25.068781,121.618322,"今日正常營業,但實際營業狀況依現場為主",台北市,內湖區
AG0,葉陽車業行,02-26345556,臺北市內湖區民權東路6段320號,25.072638,121.606070,"今日正常營業,但實際營業狀況依現場為主",台北市,內湖區
AG1,通龍車業行,02-27996478,臺北市內湖區港墘路34號1樓,25.082501,121.578077,"今日正常營業,但實際營業狀況依現場為主",台北市,內湖區
AG2,大發車業,02-28955121,臺北市北投區中央北路2段167號,25.137628,121.493346,"今日正常營業,但實際營業狀況依現場為主",台北市,北投區
AG3,崑宏機車行,02-27476668,臺北市松山區撫遠街362號1樓,25.063032,121.565865,"今日正常營業,但實際營業狀況依現場為主",台北市,松山區
AG4,大慶機車材料行,02-27224533,臺北市信義區莊敬路325巷33號,25.028799,121.564361,"今日正常營業,但實際營業狀況依現場為主",台北市,信義區
AG5,東勝機車行,02-27291027,臺北市信義區松仁路167號,25.028177,121.568474,"今日正常營業,但實際營業狀況依現場為主",台北市,信義區
AG7,益群車業有限公司,02-26511998,臺北市南港區東新街69號,25.046654,121.588199,"今日正常營業,但實際營業狀況依現場為主",台北市,南港區
AG8,民豐機車行,02-27858389,臺北市南港區成福路137號1樓,25.041819,121.587624,"今日正常營業,但實際營業狀況依現場為主",台北市,南港區
AG9,政賢機車行,02-27834062,臺北市南港區忠孝東路7段564號,25.052657,121.613288,"今日正常營業,但實際營業狀況依現場為主",台北市,南港區
AH2,億林機車行,02-23025528,臺北市萬華區艋舺大道416號1樓,25.029100,121.492217,"今日正常營業,但實際營業狀況依現場為主",台北市,萬華區
AH3,一成機車有限公司,02-23215118,臺北市中正區新生南路1段134-1號,25.036740,121.532497,"今日正常營業,但實際營業狀況依現場為主",台北市,中正區
AH4,紘益機車行,02-23968808,臺北市中正區牯嶺街77號,25.028197,121.517883,"今日正常營業,但實際營業狀況依現場為主",台北市,中正區
AH5,皇信機車行,02-27520622,臺北市大安區濟南路3段68號,25.040087,121.537225,"今日正常營業,但實際營業狀況依現場為主",台北市,大安區
AH6,興陽機車行,02-26323772,臺北市內湖區五分街39號,25.067579,121.613646,"今日正常營業,但實際營業狀況依現場為主",台北市,內湖區
AH7,誠鎰車業行,02-28362220,臺北市士林區德行東路23號,25.106919,121.525906,"今日正常營業,但實際營業狀況依現場為主",台北市,士林區
AH9,騰瀅有限公司,02-25536665,臺北市大同區錦西街67號,25.059823,121.515598,"今日正常營業,但實際營業狀況依現場為主",台北市,大同區
AI0,欣民機車行,02-28740905,臺北市北投區行義路21號,25.125097,121.526494,"將於5/6 00:00-12/31 23:59暫停檢驗,但實際營業狀況依現場為主",台北市,北投區
AI1,裕進車業行,02-27321673,臺北市信義區富陽街63號1樓,25.021970,121.556519,"今日正常營業,但實際營業狀況依現場為主",台北市,信義區
AI2,小林機車行,02-27087471,臺北市大安區建國南路2段79巷3號,25.030933,121.538249,"今日正常營業,但實際營業狀況依現場為主",台北市,大安區
AI4,協合國際行銷有限公司,02-77137716,臺北市萬華區和平西路2段149號,25.033620,121.504846,"今日正常營業,但實際營業狀況依現場為主",台北市,萬華區
AI5,鎧詮機車行,02-27992419,臺北市內湖區內湖路一段31號,25.085181,121.558804,"今日正常營業,但實際營業狀況依現場為主",台北市,內湖區
AI6,駿全車坊,02-27727739,臺北市大安區市民大道4段22號1樓,25.044697,121.544813,"今日正常營業,但實際營業狀況依現場為主",台北市,大安區
AI7,致盛機車行,02-23943990,臺北市大安區金華街118-4號1樓,25.030066,121.526859,"今日正常營業,但實際營業狀況依現場為主",台北市,大安區
AI8,成功車業行,02-27961751,臺北市內湖區金龍路9號,25.084467,121.594968,"今日正常營業,但實際營業狀況依現場為主",台北市,內湖區
AI9,達成車業有限公司,02-29317227,臺北市文山區興隆路2段177號1樓,25.000748,121.549140,"今日正常營業,但實際營業狀況依現場為主",台北市,文山區
AJ1,嘉盛車業行,02-28126456,臺北市士林區延平北路6段139號,25.089053,121.507723,"今日正常營業,但實際營業狀況依現場為主",台北市,士林區
AJ2,永承車業行,02-27618169,臺北市松山區健康路230號,25.053876,121.561405,"今日正常營業,但實際營業狀況依現場為主",台北市,松山區
AJ3,德龍車業行,02-28882256,臺北市士林區故宮路41巷1號1樓,25.096611,121.547430,"今日正常營業,但實際營業狀況依現場為主",台北市,士林區
AJ4,俊明機車行,02-27294238,臺北市信義區吳興街469號,25.023771,121.569191,"今日正常營業,但實際營業狀況依現場為主",台北市,信義區
AJ5,勵瑩車業有限公司,02-27682775,臺北市信義區松山路348號1樓,25.041159,121.577664,"今日正常營業,但實際營業狀況依現場為主",台北市,信義區
AJ6,順達機車行,02-28273761,臺北市北投區立農街2段206號1樓,25.118740,121.514398,"今日正常營業,但實際營業狀況依現場為主",台北市,北投區
AJ7,車強機車行,02-23067553,臺北市萬華區環河南路2段105號,25.034883,121.494071,"今日正常營業,但實際營業狀況依現場為主",台北市,萬華區
AJ8,季祥車業行,02-27883297,臺北市南港區研究院路1段45號,25.053393,121.616469,"今日正常營業,但實際營業狀況依現場為主",台北市,南港區
AJ9,祥和機車行,02-23088967,臺北市萬華區環河南路2段117號,25.034516,121.493747,"今日正常營業,但實際營業狀況依現場為主",台北市,萬華區
AK0,國真車業有限公司,02-25961888,臺北市大同區哈密街63巷1號,25.074182,121.515269,"今日正常營業,但實際營業狀況依現場為主",台北市,大同區
AK1,三沅行車業股份有限公司,02-87851899,臺北市信義區忠孝東路5段713號,25.042637,121.580400,"今日正常營業,但實際營業狀況依現場為主",台北市,信義區
AK3,國裕機車行,02-23414867,臺北市中正區濟南路2段73號,25.040269,121.532529,"今日正常營業,但實際營業狀況依現場為主",台北市,中正區
AK4,玟樺機車行,02-27997488,臺北市內湖區內湖路1段91巷7號,25.084628,121.561150,"今日正常營業,但實際營業狀況依現場為主",台北市,內湖區
AK5,典輪機車行,02-27072733,臺北市大安區建國南路2段161號,25.028477,121.538078,"今日正常營業,但實際營業狀況依現場為主",台北市,大安區
AK6,偉翔機車行,02-25119195,臺北市中山區長安東路1段45號,25.049028,121.525606,"今日正常營業,但實際營業狀況依現場為主",台北市,中山區
AK7,展悅機車行,02-28949129,臺北市北投區公館路146號,25.129293,121.505611,"今日正常營業,但實際營業狀況依現場為主",台北市,北投區
AK8,僑王機車行,02-28205708,臺北市北投區致遠二路116號,25.117240,121.512955,"今日正常營業,但實際營業狀況依現場為主",台北市,北投區
AK9,鴻吉機車行,02-22308318,臺北市文山區興隆路3段117號,24.998993,121.558129,"今日正常營業,但實際營業狀況依現場為主",台北市,文山區
AL0,慧昌機車行,02-86611049,臺北市文山區木柵路3段102巷7號1樓,24.988285,121.567615,"今日正常營業,但實際營業狀況依現場為主",台北市,文山區
AL1,駿輝機車行,02-28881771,臺北市士林區大南路295號,25.088763,121.518722,"今日正常營業,但實際營業狀況依現場為主",台北市,士林區
AL4,新鎰昌機車行,02-28313711,臺北市士林區至誠路1段2-6號,25.101191,121.537080,"今日正常營業,但實際營業狀況依現場為主",台北市,士林區
AL5,朝日車業行,02-25066372,臺北市中山區民權東路2段133號,25.062648,121.534871,"今日正常營業,但實際營業狀況依現場為主",台北市,中山區
AL6,聯盈機車材料行,02-28920623,臺北市北投區中央北路4段545號1樓,25.127661,121.467579,"今日正常營業,但實際營業狀況依現場為主",台北市,北投區
AL7,坤達機車行,02-26578305,臺北市內湖區文湖街75號,25.086647,121.563697,"今日正常營業,但實際營業狀況依現場為主",台北市,內湖區
AL8,峻東機車行,02-26337968,臺北市內湖區東湖路119巷49弄30號,25.070116,121.616320,"今日正常營業,但實際營業狀況依現場為主",台北市,內湖區
AL9,承鋒車業行,02-23080669,臺北市萬華區西園路2段67之2號,25.030861,121.496873,"今日正常營業,但實際營業狀況依現場為主",台北市,萬華區
AM0,建維機車行,02-23410243,臺北市大安區潮州街86號,25.029083,121.524633,"今日正常營業,但實際營業狀況依現場為主",台北市,大安區
AM1,力鼎機車行,02-27855522,臺北市信義區基隆路一段99號,25.045178,121.581656,"今日正常營業,但實際營業狀況依現場為主",台北市,信義區
AM2,原益車業行,02-28128212,臺北市士林區延平北路5段14號,25.079476,121.511271,"今日正常營業,但實際營業狀況依現場為主",台北市,士林區
AM3,卉茂實業有限公司,02-28319416,臺北市士林區文林路764號,25.103610,121.519707,"今日正常營業,但實際營業狀況依現場為主",台北市,士林區
AM4,百鉅機車行,02-27920086,臺北市內湖區成功路2段314號,25.067239,121.590466,"今日正常營業,但實際營業狀況依現場為主",台北市,內湖區
AM5,豪信機車行,02-27602773,臺北市信義區松隆路211號,25.048492,121.576344,"今日正常營業,但實際營業狀況依現場為主",台北市,信義區
AM6,泓原彰車業行,02-25410110,臺北市中山區中原街23號,25.056284,121.528962,"今日正常營業,但實際營業狀況依現場為主",台北市,中山區
AM7,誠鴻機車行,02-27939829,臺北市內湖區民權東路6段60號,25.068695,121.584743,"今日正常營業,但實際營業狀況依現場為主",台北市,內湖區
AM8,大利車業行,02-28954867,臺北市北投區中央北路1段203號,25.135930,121.497306,"今日正常營業,但實際營業狀況依現場為主",台北市,北投區
AM9,樺新車業行,02-27212062,臺北市大安區市民大道4段64號,25.044863,121.546847,"今日正常營業,但實際營業狀況依現場為主",台北市,大安區
AN0,永全機車行,02-25114713,臺北市中山區中山北路2段137巷36-2號,25.061617,121.525250,"今日正常營業,但實際營業狀況依現場為主",台北市,中山區
AN1,浩成機車行,02-28982710,臺北市北投區崇仁路1段40號,25.127273,121.501264,"今日正常營業,但實際營業狀況依現場為主",台北市,北投區
AN2,飛皇車業行,02-27993707,臺北市內湖區內湖路2段9號,25.078771,121.579251,"今日正常營業,但實際營業狀況依現場為主",台北市,內湖區
AN3,豪成機車行,02-23085576,臺北市萬華區和平西路2段190巷5號1樓,25.033566,121.504652,"今日正常營業,但實際營業狀況依現場為主",台北市,萬華區
AN4,日輝車業有限公司,02-28119912,臺北市士林區延平北路5段41號1樓,25.079914,121.510829,"今日正常營業,但實際營業狀況依現場為主",台北市,士林區
AN5,元信機車行有限公司,02-29395976,臺北市文山區木柵路2段125號,24.989019,121.562166,"今日正常營業,但實際營業狀況依現場為主",台北市,文山區
AN6,益昇機車行,02-27208285,臺北市信義區莊敬路214號,25.030099,121.561662,"今日正常營業,但實際營業狀況依現場為主",台北市,信義區
AN7,老羅機車行,02-27611373,臺北市松山區塔悠路206號,25.057451,121.569057,"今日正常營業,但實際營業狀況依現場為主",台北市,松山區
AN9,惠展車業,02-27864091,臺北市南港區福德街354號,25.039695,121.588837,"今日正常營業,但實際營業狀況依現場為主",台北市,南港區
AP0,米德車業行,02-27978295,臺北市內湖區環山路2段21號,25.086120,121.571425,"今日正常營業,但實際營業狀況依現場為主",台北市,內湖區
AP1,迅誠機車行,02-27384621,臺北市大安區通化街171巷11號,25.027977,121.554407,"今日正常營業,但實際營業狀況依現場為主",台北市,大安區
AP2,新星機車行,02-25973766,臺北市中山區新生北路3段91號,25.067481,121.528099,"今日正常營業,但實際營業狀況依現場為主",台北市,中山區
AP3,草山車業,02-28280568,臺北市北投區東陽街470號1樓,25.112201,121.519747,"今日正常營業,但實際營業狀況依現場為主",台北市,北投區
AP4,德客隆機車行,02-23028688,臺北市萬華區西藏路170號1樓,25.030060,121.503368,"今日正常營業,但實際營業狀況依現場為主",台北市,萬華區
